SR_LN.R0.,TOTAL,Recruitment,Length_comp,Survey,SR_LN.R0..1,model,Label,ALL,S1_JPN_WCNPO_OSDWLL_early_Area1,S2_JPN_WCNPO_OSDWCOLL_late_Area1,S3_JPN_WCNPO_OSDWLL_early_Area2,S4_JPN_WCNPO_OSDWLL_late_Area2,S5_TWN_WCNPO_DWLL_late,S6_US_WCNPO_LL_deep,S7_US_WCNPO_LL_shallow_early,S8_US_WCNPO_LL_shallow_late,SR_LN.R0..2,model.1,Label.1,ALL.1,F9_US_WCNPO_LL_deep,SR_LN.R0..3,model.2,Label.2,ALL.2,F1_JPN_WCNPO_OSDWCOLL_late_Area1,F2_TWN_WCNPO_DWLL_late,F4_IATTC,F6_JPN_WCNPO_OSDWLL_early_Area1,F7_JPN_WCNPO_CODF,F8_US_WCNPO_LL_shallow_early,F9_US_WCNPO_LL_deep.1
6,300.46,178.0715,97.5,26.483,6,2,Surv_like,26.483,4.3051,4.4466,2.4426,3.1437,5.62381,10.5625,0.26552,0,6,2,Catch_like,0.09115844,0.091158341,6,2,Length_like,97.5,10.017,9.644,6.5185,51.0169,0.9568,12.6021,9.95
6.2,195.05,108.3269,65.47,22.88,6.2,3,Surv_like,22.88,2.896,4.0892,2.9,2.4696,5.29492,9.287,0.16916,0.0811,6.2,3,Catch_like,0.05930724,0.059307141,6.2,3,Length_like,65.47,3.37,8.645,6.4718,33.7128,0.9568,6.1077,9.47
6.3,139.82,81.1181,41.75,18.575,6.3,4,Surv_like,18.575,2.8182,3.6842,0.7798,2.2818,4.89745,8.0782,0.16976,0.1721,6.3,4,Catch_like,0.06346974,0.063469641,6.3,4,Length_like,41.75,2.301,7.383,5.1409,14.4031,0.9725,6.3399,8.525
6.4,93.83,51.3008,30.65,13.536,6.4,5,Surv_like,13.536,2.3788,2.9596,0.3538,1.8522,4.1479,5.5495,0.15038,0.4503,6.4,5,Catch_like,0.03683994,0.036839841,6.4,5,Length_like,30.65,1.779,5.953,4.5525,7.1271,0.9807,5.5564,8.005
6.5,55.11,23.31599,23.64,9.814,6.5,6,Surv_like,9.814,2.0768,2.2911,0.1113,1.5976,3.3964,3.7515,0.12997,0.7656,6.5,6,Catch_like,0.03504474,0.035044641,6.5,6,Length_like,23.64,1.474,4.727,4.1836,3.8126,1.0074,4.4712,7.265
6.6,24.26,4.5203,16.42,4.998,6.6,7,Surv_like,4.998,1.2452,1.4012,0,1.3096,2.3249,1.626,0.09674,1.301,6.6,7,Catch_like,0.01019154,0.010191441,6.6,7,Length_like,16.42,1.446,3.102,3.8437,0.2982,1.0314,3.5446,6.37
6.7,8.84,0.8308,9.7,0.011,6.7,8,Surv_like,0.011,0.138,0.1446,0.5113,0.9108,0.2654,0,0.04858,2.2986,6.7,8,Catch_like,0.00044172,0.000441671,6.7,8,Length_like,9.7,1.094,0.765,3.1229,0,1.2005,2.6372,3.83
6.8,3.9,0.0956,5.5,0,6.8,9,Surv_like,0,0,0,0.8076,0.8881,0,0.2425,0.02402,2.344,6.8,9,Catch_like,0.000303927,0.000303898,6.8,9,Length_like,5.5,0.434,0.18,2.8376,0.2275,1.2148,1.9371,1.595
6.9,1.83,0,3.23,0.303,6.9,10,Surv_like,0.303,0.0212,0.0932,0.8923,0.8305,0.0531,0.5915,0.0106,2.1173,6.9,10,Catch_like,0.000215878,0.00021586,6.9,10,Length_like,3.23,0.082,0,2.6873,0.4138,1.1544,1.4502,0.455
7,0.94,0.0587,2.07,0.51,7,11,Surv_like,0.51,0.0676,0.1809,0.9014,0.7457,0.148,0.8764,0.00366,1.8932,7,11,Catch_like,0.000157312,0.0001573,7,11,Length_like,2.07,0,0.009,2.5135,0.5522,1.0384,1.0941,0
7.1,1.62,0.1958,2.55,0.581,7.1,12,Surv_like,0.581,0.2437,0.3573,0.7249,0.4819,0.3448,1.1571,0,1.5776,7.1,12,Catch_like,0.000116724,0.000116716,7.1,12,Length_like,2.55,0.331,0.068,2.7776,0.7219,0.8657,0.8544,0.19
7.2,0.79,0.2743,1.52,0.699,7.2,13,Surv_like,0.699,0.27,0.4807,0.7012,0.3752,0.4045,1.3339,0.00016,1.4398,7.2,13,Catch_like,8.63E-05,8.63E-05,7.2,13,Length_like,1.52,0.277,0.183,2.0237,0.7436,0.6604,0.6809,0.295
7.3,0.33,0.3449,0.88,0.807,7.3,14,Surv_like,0.807,0.2968,0.5906,0.6745,0.2865,0.4607,1.4772,0.00135,1.3259,7.3,14,Catch_like,6.34E-05,6.34E-05,7.3,14,Length_like,0.88,0.236,0.29,1.482,0.7418,0.4923,0.5375,0.52
7.4,0.1,0.4042,0.48,0.916,7.4,15,Surv_like,0.916,0.3279,0.6992,0.6493,0.2126,0.511,1.5974,0.00297,1.2221,7.4,15,Catch_like,4.57E-05,4.57E-05,7.4,15,Length_like,0.48,0.195,0.395,1.0651,0.7379,0.3593,0.4127,0.805
7.5,0.01,0.4578,0.23,1.02,7.5,16,Surv_like,1.02,0.3562,0.7977,0.626,0.1534,0.5562,1.6987,0.00474,1.1332,7.5,16,Catch_like,3.19E-05,3.19E-05,7.5,16,Length_like,0.23,0.154,0.483,0.7414,0.7312,0.2542,0.3053,1.115
7.54301,0,0.4793,0.16,1.062,7.54301,1,Surv_like,1.062,0.3675,0.8373,0.6168,0.1313,0.5743,1.7375,0.00553,1.0987,7.54301,1,Catch_like,2.70E-05,2.70E-05,7.54301,1,Length_like,0.16,0.136,0.517,0.6256,0.7279,0.2158,0.2639,1.255
7.6,0.01,0.5063,0.09,1.117,7.6,17,Surv_like,1.117,0.3816,0.8872,0.6051,0.1045,0.5974,1.7851,0.0066,1.056,7.6,17,Catch_like,2.11E-05,2.11E-05,7.6,17,Length_like,0.09,0.112,0.558,0.4894,0.7232,0.1701,0.2128,1.435
7.7,0.07,0.5498,0.02,1.207,7.7,18,Surv_like,1.207,0.4043,0.967,0.5862,0.0638,0.6349,1.8595,0.00844,0.9889,7.7,18,Catch_like,1.24E-05,1.24E-05,7.7,18,Length_like,0.02,0.072,0.622,0.2899,0.7142,0.1019,0.1327,1.755
7.8,0.18,0.5885,0,1.288,7.8,19,Surv_like,1.288,0.4247,1.0381,0.5693,0.0294,0.6691,1.9239,0.01024,0.9303,7.8,19,Catch_like,5.53E-06,5.53E-06,7.8,19,Length_like,0,0.036,0.676,0.1298,0.7048,0.046,0.0622,2.06
7.9,0.3,0.6235,0.02,1.363,7.9,20,Surv_like,1.363,0.4427,1.1019,0.5541,0,0.7001,1.9799,0.01197,0.879,7.9,20,Catch_like,0,0,7.9,20,Length_like,0.02,0.001,0.723,0,0.6953,0,0,2.35
